fold,split,task_id,impl_index,similarity,distance,distance_norm
fold_0,test,BigCodeBench/208,2,0.97157025,751,1.343470483
fold_0,test,BigCodeBench/208,3,0.9916962,202,0.3613595707
fold_0,test,BigCodeBench/475,1,0.99484634,512,0.547008547
fold_0,test,BigCodeBench/475,2,0.9952084,663,0.7083333333
fold_0,test,BigCodeBench/475,3,0.9927457,916,0.9786324786
fold_0,test,BigCodeBench/439,1,0.98111904,354,1.032069971
fold_0,test,BigCodeBench/439,2,0.9671175,558,1.626822157
fold_0,test,BigCodeBench/439,3,0.98745453,289,0.8425655977
fold_0,test,BigCodeBench/173,1,0.99413526,203,0.5087719298
fold_0,test,BigCodeBench/173,2,0.98439074,201,0.5037593985
fold_0,test,BigCodeBench/173,3,0.97293216,352,0.8822055138
fold_0,test,BigCodeBench/985,1,0.9979065,792,0.5311871227
fold_0,test,BigCodeBench/985,2,0.99677235,900,0.6036217304
fold_0,test,BigCodeBench/985,3,0.99660647,814,0.5459423206
fold_0,test,BigCodeBench/909,1,0.9956575,141,0.2727272727
fold_0,test,BigCodeBench/909,2,0.99260765,151,0.2920696325
fold_0,test,BigCodeBench/909,3,0.993535,201,0.3887814313
fold_0,test,BigCodeBench/713,1,0.99527377,344,0.4444444444
fold_0,test,BigCodeBench/713,2,0.9930651,665,0.8591731266
fold_0,test,BigCodeBench/713,3,0.9963771,472,0.6098191214
fold_0,test,BigCodeBench/594,1,0.99571,574,0.7211055276
fold_0,test,BigCodeBench/594,2,0.9940923,586,0.7361809045
fold_0,test,BigCodeBench/594,3,0.99247015,655,0.8228643216
fold_0,test,BigCodeBench/360,1,0.9915947,622,0.8227513228
fold_0,test,BigCodeBench/360,2,0.99157274,843,1.115079365
fold_0,test,BigCodeBench/360,3,0.9971768,319,0.421957672
fold_0,test,BigCodeBench/203,1,0.99564254,705,0.7320872274
fold_0,test,BigCodeBench/203,2,0.99503237,544,0.5649013499
fold_0,test,BigCodeBench/203,3,0.995004,463,0.4807892004
fold_0,test,BigCodeBench/822,1,0.9967843,240,0.3927986907
fold_0,test,BigCodeBench/822,2,0.9934212,292,0.4779050736
fold_0,test,BigCodeBench/822,3,0.9959737,296,0.4844517185
fold_0,test,BigCodeBench/314,1,0.9799868,332,0.6680080483
fold_0,test,BigCodeBench/314,2,0.98068243,305,0.6136820926
fold_0,test,BigCodeBench/314,3,0.9664656,455,0.9154929577
fold_0,test,BigCodeBench/491,1,0.9977473,692,0.6313868613
fold_0,test,BigCodeBench/491,2,0.99362767,757,0.6906934307
fold_0,test,BigCodeBench/491,3,0.9969068,566,0.5164233577
fold_0,test,BigCodeBench/933,1,0.9924652,165,0.6420233463
fold_0,test,BigCodeBench/933,2,0.9944236,194,0.7548638132
fold_0,test,BigCodeBench/933,3,0.9774184,248,0.9649805447
fold_0,test,BigCodeBench/1015,1,0.99621356,921,0.7487804878
fold_0,test,BigCodeBench/1015,2,0.99129593,824,0.6699186992
fold_0,test,BigCodeBench/1015,3,0.9972838,417,0.3390243902
fold_0,test,BigCodeBench/1137,1,0.9838178,1012,1.606349206
fold_0,test,BigCodeBench/1137,2,0.9789426,893,1.417460317
fold_0,test,BigCodeBench/1137,3,0.9910048,491,0.7793650794
fold_0,test,BigCodeBench/507,1,0.97881246,669,0.6833503575
fold_0,test,BigCodeBench/507,2,0.9901747,584,0.5965270684
fold_0,test,BigCodeBench/507,3,0.9857335,647,0.6608784474
fold_0,test,BigCodeBench/1123,1,0.98978776,734,1.130970724
fold_0,test,BigCodeBench/1123,2,0.98881257,372,0.5731895223
fold_0,test,BigCodeBench/1123,3,0.9800482,649,1
fold_0,test,BigCodeBench/270,1,0.99241567,51,0.3517241379
fold_0,test,BigCodeBench/270,2,0.9941354,59,0.4068965517
fold_0,test,BigCodeBench/270,3,0.9941354,59,0.4068965517
fold_0,test,BigCodeBench/1065,1,0.9927033,145,0.4915254237
fold_0,test,BigCodeBench/1065,2,0.9797386,260,0.8813559322
fold_0,test,BigCodeBench/1065,3,0.9873961,189,0.6406779661
fold_0,test,BigCodeBench/720,1,0.9932128,540,0.7171314741
fold_0,test,BigCodeBench/720,2,0.9861001,659,0.8751660027
fold_0,test,BigCodeBench/720,3,0.991786,551,0.7317397078
fold_0,test,BigCodeBench/88,1,0.9872357,357,0.7660944206
fold_0,test,BigCodeBench/88,2,0.9763347,543,1.165236052
fold_0,test,BigCodeBench/88,3,0.9815351,422,0.9055793991
fold_0,test,BigCodeBench/435,1,0.9908033,311,0.5289115646
fold_0,test,BigCodeBench/435,2,0.98932695,312,0.5306122449
fold_0,test,BigCodeBench/435,3,0.9898512,316,0.537414966
fold_0,test,BigCodeBench/946,1,0.9951926,105,0.2807486631
fold_0,test,BigCodeBench/946,2,0.9877236,126,0.3368983957
fold_0,test,BigCodeBench/946,3,0.9915467,125,0.3342245989
fold_0,test,BigCodeBench/875,1,0.9733022,549,1.183189655
fold_0,test,BigCodeBench/875,2,0.99225754,163,0.3512931034
fold_0,test,BigCodeBench/875,3,0.98385525,362,0.7801724138
fold_0,test,BigCodeBench/232,1,0.97714245,388,0.9371980676
fold_0,test,BigCodeBench/232,2,0.9800936,406,0.9806763285
fold_0,test,BigCodeBench/232,3,0.9757552,471,1.137681159
fold_0,test,BigCodeBench/565,1,0.95355594,726,1.78817734
fold_0,test,BigCodeBench/565,2,0.9718883,493,1.214285714
fold_0,test,BigCodeBench/565,3,0.9600588,443,1.091133005
fold_0,test,BigCodeBench/402,1,0.94490165,1747,3.979498861
fold_0,test,BigCodeBench/402,2,0.96587074,1025,2.334851936
fold_0,test,BigCodeBench/402,3,0.95494515,641,1.460136674
fold_0,test,BigCodeBench/1113,1,0.9802851,412,0.8174603175
fold_0,test,BigCodeBench/1113,2,0.99458957,250,0.496031746
fold_0,test,BigCodeBench/1113,3,0.9935125,194,0.3849206349
fold_0,test,BigCodeBench/1044,1,0.99134755,523,0.7077131258
fold_0,test,BigCodeBench/1044,2,0.9943515,656,0.8876860622
fold_0,test,BigCodeBench/1044,3,0.9947184,448,0.6062246279
fold_0,test,BigCodeBench/1030,1,0.9974757,64,0.237037037
fold_0,test,BigCodeBench/1030,2,0.9939367,167,0.6185185185
fold_0,test,BigCodeBench/1030,3,0.9961526,39,0.1444444444
fold_0,test,BigCodeBench/918,1,0.98777294,231,0.7042682927
fold_0,test,BigCodeBench/918,2,0.97441036,260,0.7926829268
fold_0,test,BigCodeBench/918,3,0.9841902,380,1.158536585
fold_0,test,BigCodeBench/597,1,0.97636354,262,0.622327791
fold_0,test,BigCodeBench/597,2,0.9875643,233,0.5534441805
fold_0,test,BigCodeBench/597,3,0.99484396,257,0.6104513064
fold_0,test,BigCodeBench/697,1,0.9611241,238,0.5666666667
fold_0,test,BigCodeBench/697,2,0.977785,418,0.9952380952
fold_0,test,BigCodeBench/697,3,0.9814793,418,0.9952380952
fold_0,test,BigCodeBench/929,1,0.9805378,258,0.7543859649
fold_0,test,BigCodeBench/929,2,0.98551357,264,0.7719298246
fold_0,test,BigCodeBench/929,3,0.98145044,254,0.7426900585
fold_0,test,BigCodeBench/944,1,0.99717736,259,0.3523809524
fold_0,test,BigCodeBench/944,2,0.9971524,336,0.4571428571
fold_0,test,BigCodeBench/944,3,0.991581,226,0.3074829932
fold_0,test,BigCodeBench/701,1,0.9608158,403,1.538167939
fold_0,test,BigCodeBench/701,2,0.9721614,287,1.095419847
fold_0,test,BigCodeBench/701,3,0.96873504,330,1.259541985
fold_0,test,BigCodeBench/246,1,0.9923842,391,0.7161172161
fold_0,test,BigCodeBench/246,2,0.9945195,389,0.7124542125
fold_0,test,BigCodeBench/246,3,0.99676377,269,0.4926739927
fold_0,test,BigCodeBench/986,1,0.9881961,788,0.9764560099
fold_0,test,BigCodeBench/986,2,0.99701977,580,0.7187112763
fold_0,test,BigCodeBench/986,3,0.99506414,589,0.7298636927
fold_0,test,BigCodeBench/913,1,0.97620654,518,0.5846501129
fold_0,test,BigCodeBench/913,2,0.96870345,537,0.6060948081
fold_0,test,BigCodeBench/913,3,0.98489624,544,0.6139954853
fold_0,test,BigCodeBench/89,1,0.9912143,526,0.6025200458
fold_0,test,BigCodeBench/89,2,0.98350877,404,0.4627720504
fold_0,test,BigCodeBench/89,3,0.9976055,383,0.4387170676
fold_0,test,BigCodeBench/388,1,0.9619478,493,1.392655367
fold_0,test,BigCodeBench/388,2,0.95936817,519,1.466101695
fold_0,test,BigCodeBench/388,3,0.9879021,271,0.7655367232
fold_0,test,BigCodeBench/584,1,0.9909598,540,0.6844106464
fold_0,test,BigCodeBench/584,2,0.9909999,521,0.6603295311
fold_0,test,BigCodeBench/584,3,0.998423,361,0.4575411914
fold_0,test,BigCodeBench/1009,1,0.9755358,462,0.8716981132
fold_0,test,BigCodeBench/1009,2,0.9765639,487,0.9188679245
fold_0,test,BigCodeBench/1009,3,0.9728887,438,0.8264150943
fold_0,test,BigCodeBench/1105,1,0.9968136,240,0.393442623
fold_0,test,BigCodeBench/1105,2,0.97708076,1041,1.706557377
fold_0,test,BigCodeBench/1105,3,0.9974846,200,0.3278688525
fold_0,test,BigCodeBench/237,1,0.9972817,374,0.5335235378
fold_0,test,BigCodeBench/237,2,0.9944724,480,0.6847360913
fold_0,test,BigCodeBench/237,3,0.99633116,343,0.4893009986
fold_0,test,BigCodeBench/412,1,0.96803325,450,1.41955836
fold_0,test,BigCodeBench/412,2,0.96821946,428,1.350157729
fold_0,test,BigCodeBench/412,3,0.94463074,569,1.794952681
fold_0,test,BigCodeBench/15,1,0.9966738,752,0.848758465
fold_0,test,BigCodeBench/15,2,0.9877617,853,0.9627539503
fold_0,test,BigCodeBench/15,3,0.9968635,460,0.5191873589
fold_0,test,BigCodeBench/81,1,0.52539444,421,1
fold_0,test,BigCodeBench/81,2,0.9578327,324,0.7695961995
fold_0,test,BigCodeBench/81,3,0.9965031,76,0.1805225653
fold_0,test,BigCodeBench/204,1,0.96609205,645,1.47260274
fold_0,test,BigCodeBench/204,2,0.9650427,475,1.084474886
fold_0,test,BigCodeBench/204,3,0.9870055,286,0.6529680365
fold_0,test,BigCodeBench/154,1,0.9965068,153,0.4322033898
fold_0,test,BigCodeBench/154,2,0.9805284,343,0.9689265537
fold_0,test,BigCodeBench/154,3,0.9917026,273,0.7711864407
fold_0,test,BigCodeBench/1064,1,0.94304764,277,0.6723300971
fold_0,test,BigCodeBench/1064,2,0.96369886,288,0.6990291262
fold_0,test,BigCodeBench/1064,3,0.96184516,292,0.7087378641
fold_0,test,BigCodeBench/344,1,0.9939338,122,0.2568421053
fold_0,test,BigCodeBench/344,2,0.989853,218,0.4589473684
fold_0,test,BigCodeBench/344,3,0.9827386,401,0.8442105263
fold_0,test,BigCodeBench/941,1,0.9902732,273,0.4161585366
fold_0,test,BigCodeBench/941,2,0.99343723,319,0.4862804878
fold_0,test,BigCodeBench/941,3,0.99766076,169,0.2576219512
fold_0,test,BigCodeBench/606,1,0.9971078,46,0.219047619
fold_0,test,BigCodeBench/606,2,0.9912035,47,0.2238095238
fold_0,test,BigCodeBench/606,3,0.9915563,78,0.3714285714
fold_0,test,BigCodeBench/46,1,0.96541196,330,1.314741036
fold_0,test,BigCodeBench/46,2,0.9482368,415,1.653386454
