fold,split,task_id,distances,distances_norm
fold_0,test,BigCodeBench/909,"[141, 151, 201]","[0.2727272727272727, 0.29206963249516443, 0.38878143133462284]"
fold_0,test,BigCodeBench/713,"[344, 665, 472]","[0.4444444444444444, 0.8591731266149871, 0.6098191214470284]"
fold_0,test,BigCodeBench/594,"[574, 586, 655]","[0.7211055276381909, 0.7361809045226131, 0.8228643216080402]"
fold_0,test,BigCodeBench/360,"[622, 843, 319]","[0.8227513227513228, 1.1150793650793651, 0.421957671957672]"
fold_0,test,BigCodeBench/203,"[705, 544, 463]","[0.7320872274143302, 0.564901349948079, 0.48078920041536866]"
fold_0,test,BigCodeBench/822,"[240, 292, 296]","[0.39279869067103107, 0.4779050736497545, 0.4844517184942717]"
fold_0,test,BigCodeBench/314,"[332, 305, 455]","[0.6680080482897385, 0.613682092555332, 0.9154929577464789]"
fold_0,test,BigCodeBench/491,"[692, 757, 566]","[0.6313868613138686, 0.6906934306569343, 0.5164233576642335]"
fold_0,test,BigCodeBench/933,"[165, 194, 248]","[0.642023346303502, 0.754863813229572, 0.9649805447470817]"
fold_0,test,BigCodeBench/1015,"[921, 824, 417]","[0.748780487804878, 0.6699186991869919, 0.33902439024390246]"
fold_0,test,BigCodeBench/1137,"[1012, 893, 491]","[1.6063492063492064, 1.4174603174603175, 0.7793650793650794]"
fold_0,test,BigCodeBench/507,"[669, 584, 647]","[0.6833503575076609, 0.5965270684371808, 0.6608784473953013]"
fold_0,test,BigCodeBench/1123,"[734, 372, 649]","[1.1309707241910631, 0.5731895223420647, 1.0]"
fold_0,test,BigCodeBench/270,"[51, 59, 59]","[0.35172413793103446, 0.4068965517241379, 0.4068965517241379]"
fold_0,test,BigCodeBench/1065,"[145, 260, 189]","[0.4915254237288136, 0.8813559322033898, 0.6406779661016949]"
fold_0,test,BigCodeBench/720,"[540, 659, 551]","[0.7171314741035857, 0.8751660026560425, 0.7317397078353254]"
fold_0,test,BigCodeBench/88,"[357, 543, 422]","[0.7660944206008584, 1.1652360515021458, 0.9055793991416309]"
fold_0,test,BigCodeBench/435,"[311, 312, 316]","[0.5289115646258503, 0.5306122448979592, 0.5374149659863946]"
fold_0,test,BigCodeBench/946,"[105, 126, 125]","[0.2807486631016043, 0.33689839572192515, 0.3342245989304813]"
fold_0,test,BigCodeBench/875,"[549, 163, 362]","[1.1831896551724137, 0.35129310344827586, 0.7801724137931034]"
fold_0,test,BigCodeBench/232,"[388, 406, 471]","[0.9371980676328503, 0.9806763285024155, 1.1376811594202898]"
