fold,split,task_id,impl_index,distance,distance_norm
fold_0,test,BigCodeBench/985,2,900,0.6036217303822937
fold_0,test,BigCodeBench/985,3,814,0.5459423205902079
fold_0,test,BigCodeBench/909,1,141,0.2727272727272727
fold_0,test,BigCodeBench/909,2,151,0.29206963249516443
fold_0,test,BigCodeBench/909,3,201,0.38878143133462284
fold_0,test,BigCodeBench/713,1,344,0.4444444444444444
fold_0,test,BigCodeBench/713,2,665,0.8591731266149871
fold_0,test,BigCodeBench/713,3,472,0.6098191214470284
fold_0,test,BigCodeBench/594,1,574,0.7211055276381909
fold_0,test,BigCodeBench/594,2,586,0.7361809045226131
fold_0,test,BigCodeBench/594,3,655,0.8228643216080402
fold_0,test,BigCodeBench/360,1,622,0.8227513227513228
fold_0,test,BigCodeBench/360,2,843,1.1150793650793651
fold_0,test,BigCodeBench/360,3,319,0.421957671957672
fold_0,test,BigCodeBench/203,1,705,0.7320872274143302
fold_0,test,BigCodeBench/203,2,544,0.564901349948079
fold_0,test,BigCodeBench/203,3,463,0.48078920041536866
fold_0,test,BigCodeBench/822,1,240,0.39279869067103107
fold_0,test,BigCodeBench/822,2,292,0.4779050736497545
fold_0,test,BigCodeBench/822,3,296,0.4844517184942717
fold_0,test,BigCodeBench/314,1,332,0.6680080482897385
fold_0,test,BigCodeBench/314,2,305,0.613682092555332
fold_0,test,BigCodeBench/314,3,455,0.9154929577464789
fold_0,test,BigCodeBench/491,1,692,0.6313868613138686
fold_0,test,BigCodeBench/491,2,757,0.6906934306569343
fold_0,test,BigCodeBench/491,3,566,0.5164233576642335
fold_0,test,BigCodeBench/933,1,165,0.642023346303502
fold_0,test,BigCodeBench/933,2,194,0.754863813229572
fold_0,test,BigCodeBench/933,3,248,0.9649805447470817
fold_0,test,BigCodeBench/1015,1,921,0.748780487804878
fold_0,test,BigCodeBench/1015,2,824,0.6699186991869919
fold_0,test,BigCodeBench/1015,3,417,0.33902439024390246
fold_0,test,BigCodeBench/1137,1,1012,1.6063492063492064
fold_0,test,BigCodeBench/1137,2,893,1.4174603174603175
fold_0,test,BigCodeBench/1137,3,491,0.7793650793650794
fold_0,test,BigCodeBench/507,1,669,0.6833503575076609
fold_0,test,BigCodeBench/507,2,584,0.5965270684371808
fold_0,test,BigCodeBench/507,3,647,0.6608784473953013
fold_0,test,BigCodeBench/1123,1,734,1.1309707241910631
fold_0,test,BigCodeBench/1123,2,372,0.5731895223420647
fold_0,test,BigCodeBench/1123,3,649,1.0
fold_0,test,BigCodeBench/270,1,51,0.35172413793103446
fold_0,test,BigCodeBench/270,2,59,0.4068965517241379
fold_0,test,BigCodeBench/270,3,59,0.4068965517241379
fold_0,test,BigCodeBench/1065,1,145,0.4915254237288136
fold_0,test,BigCodeBench/1065,2,260,0.8813559322033898
fold_0,test,BigCodeBench/1065,3,189,0.6406779661016949
fold_0,test,BigCodeBench/720,1,540,0.7171314741035857
fold_0,test,BigCodeBench/720,2,659,0.8751660026560425
fold_0,test,BigCodeBench/720,3,551,0.7317397078353254
fold_0,test,BigCodeBench/88,1,357,0.7660944206008584
fold_0,test,BigCodeBench/88,2,543,1.1652360515021458
fold_0,test,BigCodeBench/88,3,422,0.9055793991416309
fold_0,test,BigCodeBench/435,1,311,0.5289115646258503
fold_0,test,BigCodeBench/435,2,312,0.5306122448979592
fold_0,test,BigCodeBench/435,3,316,0.5374149659863946
fold_0,test,BigCodeBench/946,1,105,0.2807486631016043
fold_0,test,BigCodeBench/946,2,126,0.33689839572192515
fold_0,test,BigCodeBench/946,3,125,0.3342245989304813
fold_0,test,BigCodeBench/875,1,549,1.1831896551724137
fold_0,test,BigCodeBench/875,2,163,0.35129310344827586
fold_0,test,BigCodeBench/875,3,362,0.7801724137931034
fold_0,test,BigCodeBench/232,1,388,0.9371980676328503
fold_0,test,BigCodeBench/232,2,406,0.9806763285024155
fold_0,test,BigCodeBench/232,3,471,1.1376811594202898
fold_0,test,BigCodeBench/565,1,726,1.7881773399014778
fold_0,test,BigCodeBench/565,2,493,1.2142857142857142
fold_0,test,BigCodeBench/565,3,443,1.0911330049261083
fold_0,test,BigCodeBench/402,1,1747,3.979498861047836
fold_0,test,BigCodeBench/402,2,1025,2.334851936218679
fold_0,test,BigCodeBench/402,3,641,1.460136674259681
fold_0,test,BigCodeBench/1113,1,412,0.8174603174603174
fold_0,test,BigCodeBench/1113,2,250,0.49603174603174605
fold_0,test,BigCodeBench/1113,3,194,0.38492063492063494
fold_0,test,BigCodeBench/1044,1,523,0.7077131258457375
fold_0,test,BigCodeBench/1044,2,656,0.8876860622462788
fold_0,test,BigCodeBench/1044,3,448,0.6062246278755075
fold_0,test,BigCodeBench/1030,1,64,0.23703703703703705
fold_0,test,BigCodeBench/1030,2,167,0.6185185185185185
fold_0,test,BigCodeBench/1030,3,39,0.14444444444444443
fold_0,test,BigCodeBench/918,1,231,0.7042682926829268
fold_0,test,BigCodeBench/918,2,260,0.7926829268292683
fold_0,test,BigCodeBench/918,3,380,1.1585365853658536
fold_0,test,BigCodeBench/597,1,262,0.6223277909738717
fold_0,test,BigCodeBench/597,2,233,0.5534441805225653
fold_0,test,BigCodeBench/597,3,257,0.6104513064133017
fold_0,test,BigCodeBench/697,1,238,0.5666666666666667
fold_0,test,BigCodeBench/697,2,418,0.9952380952380953
fold_0,test,BigCodeBench/697,3,418,0.9952380952380953
fold_0,test,BigCodeBench/929,1,258,0.7543859649122807
fold_0,test,BigCodeBench/929,2,264,0.7719298245614035
fold_0,test,BigCodeBench/929,3,254,0.7426900584795322
fold_0,test,BigCodeBench/944,1,259,0.3523809523809524
fold_0,test,BigCodeBench/944,2,336,0.45714285714285713
fold_0,test,BigCodeBench/944,3,226,0.3074829931972789
fold_0,test,BigCodeBench/701,1,403,1.5381679389312977
