fold,split,task_id,impl_index,sim,distance,distance_norm
fold_0,fit,BigCodeBench/627,1,0.9960549,160,0.3448275862068966
fold_0,fit,BigCodeBench/425,1,0.9892604,405,0.75
fold_0,fit,BigCodeBench/1021,1,0.99700046,173,0.3197781885397412
fold_0,fit,BigCodeBench/651,1,0.98702216,405,0.8766233766233766
fold_0,fit,BigCodeBench/158,1,0.94176936,615,1.824925816023739
fold_0,fit,BigCodeBench/90,1,0.99569535,315,0.3539325842696629
fold_0,fit,BigCodeBench/793,1,0.9946239,194,0.610062893081761
fold_0,fit,BigCodeBench/84,1,0.9984081,1030,0.6816677696889477
fold_0,fit,BigCodeBench/474,1,0.9925102,491,0.7868589743589743
fold_0,fit,BigCodeBench/434,1,0.9956054,586,0.5830845771144278
fold_0,fit,BigCodeBench/290,1,0.97626173,500,0.8865248226950354
fold_0,fit,BigCodeBench/1103,1,0.98220676,421,0.8127413127413128
fold_0,fit,BigCodeBench/1019,1,0.99732274,575,0.5502392344497608
fold_0,fit,BigCodeBench/387,1,0.9910227,508,0.7195467422096318
fold_0,fit,BigCodeBench/181,1,0.9952094,75,0.25
fold_0,fit,BigCodeBench/385,1,0.9879762,364,0.7193675889328063
fold_0,fit,BigCodeBench/463,1,0.98896456,310,0.8781869688385269
fold_0,fit,BigCodeBench/801,1,0.9866001,492,0.6657645466847091
fold_0,fit,BigCodeBench/473,1,0.98789424,425,0.8095238095238095
fold_0,fit,BigCodeBench/800,1,0.98796695,552,0.5168539325842697
fold_0,fit,BigCodeBench/601,1,0.988863,446,0.5930851063829787
fold_0,fit,BigCodeBench/248,1,0.9874482,360,0.8450704225352113
fold_0,fit,BigCodeBench/39,1,0.9854618,471,0.71580547112462
fold_0,fit,BigCodeBench/44,1,0.96427363,533,1.625
fold_0,fit,BigCodeBench/322,1,0.9934503,370,0.5354558610709117
fold_0,fit,BigCodeBench/449,1,0.9883871,602,0.9333333333333333
